Alabama,"50,750"
Alaska,"570,641"
Arizona,"113,642"
Arkansas,"52,075"
California,"155,973"
Colorado,"103,730"
Connecticut,"4,845"
DC, 68
Delaware,"1,955"
Florida,"53,997"
Georgia,"57,919"
Hawaii,"6,423"
Idaho,"82,751"
Illinois,"55,593"
Indiana,"35,870"
Iowa,"55,875"
Kansas,"81,823"
Kentucky,"39,732"
Louisiana,"43,566"
Maine,"30,865"
Maryland,"9,775"
Massachusetts,"7,838"
Michigan,"56,539"
Minnesota,"79,617"
Mississippi,"46,914"
Missouri,"68,898"
Montana,"145,556"
Nebraska,"76,878"
Nevada,"109,806"
New Hampshire,"8,969"
New Jersey,"7,419"
New Mexico,"121,365"
New York,"47,224"
North Carolina,"48,718"
North Dakota,"68,994"
Ohio,"40,953"
Oklahoma,"68,679"
Oregon,"96,003"
Pennsylvania,"44,820"
Rhode Island,"1,034"
South Carolina,"30,111"
South Dakota,"75,898"
Tennessee,"41,220"
Texas,"261,914"
Utah,"82,168"
Vermont,"9,249"
Virginia,"39,598"
Washington,"66,582"
West Virginia,"24,087"
Wisconsin,"54,314"
Wyoming,"97,105"
