1970,1980,1990,2000,2010,State,Abbreviation
3444165,3893888,4040587,4447100,4779735,Alabama,AL
300382,401851,550043,626932,710231,Alaska,AK
1770900,2718215,3665228,5130632,6329013,Arizona,AZ
1923295,2286435,2350725,2673400,2915921,Arkansas,AR
19953134,23667902,29760021,33871648,37253956,California,CA
2207259,2889964,3294394,4301261,5029196,Colorado,CO
3031709,3107576,3287116,3405565,3574097,Connecticut,CT
548104,594338,666168,783600,897934,Delaware,DE
756510,638333,606900,572059,601723,District of Columbia,DC
6789443,9746324,12937926,15982378,18801311,Florida,FL
4589575,5463105,6478216,8186453,9687653,Georgia,GA
768561,964691,1108229,1211537,1360301,Hawaii,HI
712567,943935,1006749,1293953,1567582,Idaho,ID
11113976,11426518,11430602,12419293,12830632,Illinois,IL
5193669,5490224,5544159,6080485,6483800,Indiana,IN
2824376,2913808,2776755,2926324,3046350,Iowa,IA
2246578,2363679,2477574,2688418,2853118,Kansas,KS
3218706,3660777,3685296,4041769,4339362,Kentucky,KY
3641306,4205900,4219973,4468976,4515770,Louisiana,LA
992048,1124660,1227928,1274923,1328361,Maine,ME
3922399,4216975,4781468,5296486,5773552,Maryland,MD
5689170,5737037,6016425,6349097,6547629,Massachusetts,MA
8875083,9262078,9295297,9938444,9883635,Michigan,MI
3804971,4075970,4375099,4919479,5303925,Minnesota,MN
2216912,2520638,2573216,2844658,2967297,Mississippi,MS
4676501,4916686,5117073,5595211,5988927,Missouri,MO
694409,786690,799065,902195,989415,Montana,MT
1483493,1569825,1578385,1711263,1826341,Nebraska,NE
488738,800493,1201833,1998257,2700551,Nevada,NV
737681,920610,1109252,1235786,1316472,New Hampshire,NH
7168164,7364823,7730188,8414350,8791894,New Jersey,NJ
1016000,1302894,1515069,1819046,2059180,New Mexico,NM
18236967,17558072,17990455,18976457,19378104,New York,NY
5082059,5881766,6628637,8049313,9535475,North Carolina,NC
617761,652717,638800,642200,672591,North Dakota,ND
10652017,10797630,10847115,11353140,11536502,Ohio,OH
2559229,3025290,3145585,3450654,3751354,Oklahoma,OK
2091385,2633105,2842321,3421399,3831074,Oregon,OR
11793909,11863895,11881643,12281054,12702379,Pennsylvania,PA
946725,947154,1003464,1048319,1052567,Rhode Island,RI
2590516,3121820,3486703,4012012,4625364,South Carolina,SC
665507,690768,696004,754844,814180,South Dakota,SD
3923687,4591120,4877185,5689283,6346110,Tennessee,TN
11196730,14229191,16986510,20851820,25145561,Texas,TX
1059273,1461037,1722850,2233169,2763885,Utah,UT
444330,511456,562758,608827,625741,Vermont,VT
4648494,5346818,6187358,7078515,8001024,Virginia,VA
3409169,4132156,4866692,5894121,6724540,Washington,WA
1744237,1949644,1793477,1808344,1852996,West Virginia,WV
4417731,4705767,4891769,5363675,5686986,Wisconsin,WI
332416,469557,453588,493782,563626,Wyoming,WY
