Area,State Name
50750,Alabama
570641,Alaska
113642,Arizona
52075,Arkansas
155973,California
103730,Colorado
4845,Connecticut
 68,DC
1955,Delaware
53997,Florida
57919,Georgia
6423,Hawaii
82751,Idaho
55593,Illinois
35870,Indiana
55875,Iowa
81823,Kansas
39732,Kentucky
43566,Louisiana
30865,Maine
9775,Maryland
7838,Massachusetts
56539,Michigan
79617,Minnesota
46914,Mississippi
68898,Missouri
145556,Montana
76878,Nebraska
109806,Nevada
8969,New Hampshire
7419,New Jersey
121365,New Mexico
47224,New York
48718,North Carolina
68994,North Dakota
40953,Ohio
68679,Oklahoma
96003,Oregon
44820,Pennsylvania
1034,Rhode Island
30111,South Carolina
75898,South Dakota
41220,Tennessee
261914,Texas
82168,Utah
9249,Vermont
39598,Virginia
66582,Washington
24087,West Virginia
54314,Wisconsin
97105,Wyoming
