1970,1980,1990,2000,2010,State Name
67,76,79,87,94,AL Alabama
0,0,0,1,1,AK Alaska
15,23,32,45,55,AZ Arizona
36,43,45,51,55,AR Arkansas
127,151,190,217,238,CA California
21,27,31,41,48,CO Colorado
625,641,678,702,737,CT Connecticut
8060,8740,9796,11523,13204,DE Delaware
386,326,310,292,307,DC District of Columbia
125,180,239,295,348,FL Florida
79,94,111,141,167,GA Georgia
119,150,172,188,211,HI Hawaii
8,11,12,15,18,ID Idaho
199,205,205,223,230,IL Illinois
144,153,154,169,180,IN Indiana
50,52,49,52,54,IA Iowa
27,28,30,32,34,KS Kansas
81,92,92,101,109,KY Kentucky
83,96,96,102,103,LA Louisiana
32,36,39,41,43,ME Maine
401,431,489,541,590,MD Maryland
725,731,767,810,835,MA Massachusetts
156,163,164,175,174,MI Michigan
47,51,54,61,66,MN Minnesota
47,53,54,60,63,MS Mississippi
67,71,74,81,86,MO Missouri
4,5,5,6,6,MT Montana
19,20,20,22,23,NE Nebraska
4,7,10,18,24,NV Nevada
82,102,123,137,146,NH New Hampshire
966,992,1041,1134,1185,NJ New Jersey
8,10,12,14,16,NM New Mexico
386,371,380,401,410,NY New York
104,120,136,165,195,NC North Carolina
8,9,9,9,9,ND North Dakota
260,263,264,277,281,OH Ohio
37,44,45,50,54,OK Oklahoma
21,27,29,35,39,OR Oregon
263,264,265,274,283,PA Pennsylvania
915,916,970,1013,1017,RI Rhode Island
86,103,115,133,153,SC South Carolina
8,9,9,9,10,SD South Dakota
95,111,118,138,153,TN Tennessee
42,54,64,79,96,TX Texas
12,17,20,27,33,UT Utah
48,55,60,65,67,VT Vermont
117,135,156,178,202,VA Virginia
51,62,73,88,100,WA Washington
72,80,74,75,76,WV West Virginia
81,86,90,98,104,WI Wisconsin
3,4,4,5,5,WY Wyoming
